Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
Calça Verão Tactel,2013-01-01,27,20,40,Tactel,Verão
Calça Verão Cetim,2013-01-01,8,25,50,Cetim,Verão
Bermuda Verão Jeans,2013-01-01,32,15,30,Jeans,Verão
Blusa Verão Seda,2013-01-01,58,18,36,Seda,Verão
Camisa Verão Algodão,2013-01-01,6,22,44,Algodão,Verão
Cropped Verão Algodão,2013-01-01,6,10,20,Algodão,Verão
Saia Verão Viscose,2013-01-01,60,12,24,Viscose,Verão
Short Verão Jeans,2013-01-01,36,16,32,Jeans,Verão
T-shirt Verão Poliéster,2013-01-01,0,8,16,Poliéster,Verão
Vestido Verão Cetim,2013-01-01,30,30,60,Cetim,Verão
Vestido Verão Cetim,2013-02-01,0,30,60,Cetim,Verão
T-shirt Verão Poliéster,2013-02-01,0,8,16,Poliéster,Verão
Short Verão Jeans,2013-02-01,21,16,32,Jeans,Verão
Saia Verão Viscose,2013-02-01,0,12,24,Viscose,Verão
Cropped Verão Algodão,2013-02-01,0,10,20,Algodão,Verão
Bermuda Verão Jeans,2013-02-01,0,15,30,Jeans,Verão
Blusa Verão Seda,2013-02-01,0,18,36,Seda,Verão
Calça Verão Cetim,2013-02-01,24,25,50,Cetim,Verão
Calça Verão Tactel,2013-02-01,0,20,40,Tactel,Verão
Camisa Verão Algodão,2013-02-01,0,22,44,Algodão,Verão
Saia Outono Couro,2013-03-01,59,14,28,Couro,Outono
Vestido Outono Lã,2013-03-01,8,28,56,Lã,Outono
T-shirt Outono Algodão,2013-03-01,17,10,20,Algodão,Outono
Short Outono Sarja,2013-03-01,0,18,36,Sarja,Outono
Cropped Outono Viscose,2013-03-01,0,12,24,Viscose,Outono
Bermuda Outono Jeans,2013-03-01,19,18,36,Jeans,Outono
Blusa Outono Tricô,2013-03-01,0,16,32,Tricô,Outono
Calça Outono Algodão,2013-03-01,27,20,40,Algodão,Outono
Calça Outono Sarja,2013-03-01,0,22,44,Sarja,Outono
Camisa Outono Lã,2013-03-01,7,24,48,Lã,Outono
Vestido Outono Lã,2013-04-01,0,28,56,Lã,Outono
T-shirt Outono Algodão,2013-04-01,72,10,20,Algodão,Outono
Short Outono Sarja,2013-04-01,16,18,36,Sarja,Outono
Saia Outono Couro,2013-04-01,0,14,28,Couro,Outono
Cropped Outono Viscose,2013-04-01,42,12,24,Viscose,Outono
Blusa Outono Tricô,2013-04-01,0,16,32,Tricô,Outono
Bermuda Outono Jeans,2013-04-01,24,18,36,Jeans,Outono
Calça Outono Algodão,2013-04-01,0,20,40,Algodão,Outono
Calça Outono Sarja,2013-04-01,0,22,44,Sarja,Outono
Camisa Outono Lã,2013-04-01,24,24,48,Lã,Outono
Saia Inverno Lã,2013-05-01,40,22,44,Lã,Inverno
Vestido Inverno Lã,2013-05-01,23,32,64,Lã,Inverno
T-shirt Inverno Algodão,2013-05-01,15,12,24,Algodão,Inverno
Short Inverno Moletom,2013-05-01,9,18,36,Moletom,Inverno
Cropped Inverno Algodão,2013-05-01,0,14,28,Algodão,Inverno
Bermuda Inverno Moletom,2013-05-01,0,20,40,Moletom,Inverno
Blusa Inverno Lã,2013-05-01,5,26,52,Lã,Inverno
Calça Inverno Lã,2013-05-01,51,30,60,Lã,Inverno
Camisa Inverno Flanela,2013-05-01,29,24,48,Flanela,Inverno
Calça Inverno Malha,2013-05-01,0,28,56,Malha,Inverno
Calça Inverno Lã,2013-06-01,29,30,60,Lã,Inverno
Calça Inverno Malha,2013-06-01,8,28,56,Malha,Inverno
Bermuda Inverno Moletom,2013-06-01,0,20,40,Moletom,Inverno
Blusa Inverno Lã,2013-06-01,38,26,52,Lã,Inverno
Cropped Inverno Algodão,2013-06-01,51,14,28,Algodão,Inverno
Saia Inverno Lã,2013-06-01,48,22,44,Lã,Inverno
Short Inverno Moletom,2013-06-01,0,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2013-06-01,11,12,24,Algodão,Inverno
Vestido Inverno Lã,2013-06-01,30,32,64,Lã,Inverno
Camisa Inverno Flanela,2013-06-01,50,24,48,Flanela,Inverno
Vestido Inverno Lã,2013-07-01,6,32,64,Lã,Inverno
Saia Inverno Lã,2013-07-01,15,22,44,Lã,Inverno
T-shirt Inverno Algodão,2013-07-01,0,12,24,Algodão,Inverno
Short Inverno Moletom,2013-07-01,0,18,36,Moletom,Inverno
Cropped Inverno Algodão,2013-07-01,46,14,28,Algodão,Inverno
Blusa Inverno Lã,2013-07-01,62,26,52,Lã,Inverno
Bermuda Inverno Moletom,2013-07-01,19,20,40,Moletom,Inverno
Calça Inverno Malha,2013-07-01,52,28,56,Malha,Inverno
Calça Inverno Lã,2013-07-01,33,30,60,Lã,Inverno
Camisa Inverno Flanela,2013-07-01,3,24,48,Flanela,Inverno
Vestido Primavera Chiffon,2013-08-01,33,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2013-08-01,69,10,20,Poliéster,Primavera
Short Primavera Algodão,2013-08-01,21,18,36,Algodão,Primavera
Saia Primavera Seda,2013-08-01,70,14,28,Seda,Primavera
Cropped Primavera Linho,2013-08-01,0,12,24,Linho,Primavera
Camisa Primavera Viscose,2013-08-01,48,24,48,Viscose,Primavera
Bermuda Primavera Algodão,2013-08-01,26,18,36,Algodão,Primavera
Calça Primavera Linho,2013-08-01,14,22,44,Linho,Primavera
Calça Primavera Viscose,2013-08-01,26,20,40,Viscose,Primavera
Blusa Primavera Chiffon,2013-08-01,0,16,32,Chiffon,Primavera
Saia Primavera Seda,2013-09-01,17,14,28,Seda,Primavera
Vestido Primavera Chiffon,2013-09-01,35,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2013-09-01,68,10,20,Poliéster,Primavera
Short Primavera Algodão,2013-09-01,9,18,36,Algodão,Primavera
Cropped Primavera Linho,2013-09-01,0,12,24,Linho,Primavera
